Gene name	GO term accession
Gm28336	
Gm28272	
Gm28337	
Gm29256	
Gm28259	
Gm28338	
Gm28273	
Gm21715	
Gm29028	
Gm29029	
Gm29615	
Gm29030	
Gm29616	
Gm29023	
Gm29024	
Gm21784	
Gm29025	
Gm20805	
Gm29026	
Gm29618	
Gm28213	
Gm29109	
Gm28212	
Gm29108	
Gm21799	
Gm28227	
Gm28781	
Gm20905	GO:0005634
Gm20905	GO:0005515
Gm20905	GO:0010468
Gm20905	GO:0005737
Gm20905	GO:0007338
Gm20905	GO:0007530
Gm20905	GO:0048515
Gm29411	
Gm21913	
Gm28174	
Gm28222	
Gm54339	
Gm21835	
Gm21076	
Gm28820	
Gm29416	
Gm28223	
Gm54340	
Gm29412	
Gm21869	
Gm20813	
Gm29413	
Gm28790	
Gm29671	
Gm21878	
Gm29272	
Gm28162	
Gm28789	
Gm20922	
Gm20738	GO:0007276
Gm20738	GO:0005654
Gm20738	GO:0035064
Gm20738	GO:0006355
Gm20738	GO:0005829
Gm20814	GO:0005634
Gm20814	GO:0005515
Gm20814	GO:0010468
Gm20814	GO:0005737
Gm20814	GO:0007338
Gm20814	GO:0007530
Gm20814	GO:0048515
Gm28787	
Gm28788	
Gm28545	
Gm28547	
Gm29278	
Gm28546	
Gm21922	
Gm21924	
Gm21111	
Gm21735	
Gm28608	
Gm28607	
Gm28771	
Gm28772	
Gm28606	
Gm28773	
Gm20850	GO:0005634
Gm20850	GO:0005515
Gm20850	GO:0010468
Gm20850	GO:0005737
Gm20850	GO:0007338
Gm20850	GO:0007530
Gm20850	GO:0048515
Gm20897	GO:0005634
Gm20897	GO:0005515
Gm20897	GO:0010468
Gm20897	GO:0005737
Gm20897	GO:0007338
Gm20897	GO:0007530
Gm20897	GO:0048515
Gm29574	
Gm28774	
Gm29575	
Gm28775	
Gm21875	
Gm20904	
Gm21765	
Gapdh-ps15	
Gm29576	
Gm29577	
Gm28776	
Gm21787	
Gm29573	
Gm28770	
Gm28377	
Gm20901	
Gm21776	
Gm21155	
Gm28176	
Gm28786	
Gm21163	
Gm28122	
Gm29360	
Gm28121	
Gm29496	
Gm29497	
Gm29499	
Gm28123	
Gm28120	
Gm29313	
Gm29498	
Gm21180	
Gm36782	
Gm20859	
Gm29839	
Gm29314	
Gm29495	
Gm29310	
Gm28371	
Gm29311	
Gm28595	
Gm21638	
Gm37032	
Gm29312	
Gm29308	
Gm29309	
Gm28702	
Gm28701	
Gm28700	
Gm28699	
Gm29433	
Gm28705	
Gm29215	
Gm28704	
Gm21882	
Gm21801	
Gm28540	
Gm28850	
Gm21914	
Gm28617	
Gm28618	
Gm28619	
Gm28537	
Gm28538	
Gm20793	
Gm54341	
Gm54342	
Gm29569	
Gm20867	GO:0007276
Gm20867	GO:0005654
Gm20867	GO:0035064
Gm20867	GO:0006355
Gm20867	GO:0005829
Gm28993	
Gm21658	
Gm28994	
Gm29568	
Gm21797	
Gm29567	
Gm21198	
Gm29566	
Gm29565	
Gm29147	
Gm29146	
Gm28664	
Gm28663	
Gm20795	GO:0007276
Gm20795	GO:0005654
Gm20795	GO:0035064
Gm20795	GO:0006355
Gm20795	GO:0005829
Gm29149	
Gm28596	
Gm29148	
Gm20832	
Gm29145	
Gm29144	
Gm28597	
Gm28817	
Gm28428	
Gm28816	
Gm20827	
Gm20808	
Gm28427	
Gm21800	
Gm20806	GO:0007276
Gm20806	GO:0005654
Gm20806	GO:0035064
Gm20806	GO:0006355
Gm20806	GO:0005829
Gm28426	
Gm28815	
Gm28814	
Gm28425	
Gm21729	
Gm28813	
Gm28834	
Gm28833	
Gm21774	
Gm29537	
Gm29274	
Gm29275	
Gm29276	GO:0007286
Gm29276	GO:0051321
Gm29276	GO:0000795
Gm21805	
Gm29645	
Gm28312	
Gm29165	
Gm21242	
Gm29042	
Gm29031	
Gm28311	
Gm29032	
Gm28310	
Gm29606	
Gm28504	
Gm29607	
Gm28567	
Gm21248	
Gm28568	
Gm29189	
Gm29286	
Gm29285	
Gm28280	
Gm21241	
Gm28159	
Gm28278	
Gm28160	
Gm28157	
Gm28158	
Gm21257	
Gm28161	
Gm28695	
Gm28696	
Gm20791	
Gm28886	
Gm20841	
Gm28899	
Gm29426	
Gm28885	
Gm21856	
Gm28887	
Gm28896	
Gm29444	
Gm21282	
Gm21783	
Gm28895	
Gm29445	
Gm28894	
Gm21829	
Gm28457	
Gm29324	
Gm21779	
Gm28741	
Gm20912	
Gm20801	
Gm28742	
Gm28458	
Gm21919	
Gm28743	
Gm28459	
Gm28461	
Gm28124	
Gm21790	
Gm21728	
Gm28460	
Gm28126	
Gm28851	
Gm28125	
Gm28456	
Gm21825	
Gm29073	
Gm29648	
Gm29647	
Gm29468	
Gm29646	
Gm29469	
Gm29472	
Gm28549	
Gm29473	
Gm29211	
Gm29470	
Gm29212	
Gm21333	
Gm21247	
Gm29382	
Gm28224	
Gm29210	
Gm28226	
Gm29213	
Gm28225	
Gm28550	
Gm21344	
Gm28604	
Gm20849	
Gm28603	
Gm28829	
Gm21901	
Gm28565	
Gm28566	
Gm28697	
Gm28828	
Gm28554	
Gm28831	
Gm28832	
Gm21864	
Gm21802	
Gm28658	
Gm29238	
Gm29056	
Gm21088	
Gm29239	
Gm29098	
Gm54343	
Gm21170	
Gm21741	
Gm29373	
Gm20862	
Gm54344	
Gm29370	
Gm20863	
Gm21751	
Gm20864	
Gm29476	
Gm29166	
Gm21717	
Gm28194	
Gm28753	
Gm21191	
Gm21271	
Gm28475	
Gm28476	
Gm21281	
Gm21380	
Gm28193	
Gm21782	
Gm28751	
Gm28752	
Gm28726	
Gm21308	
Gm29267	
Gm29268	
Gm21879	
Gm29269	
Gm28757	
Gm29270	
Gm20856	
Gm28348	
Gm28973	
Gm29271	
Gm21734	
Gm28972	
Gm28970	
Gm28971	
Gm54345	
Gm21785	
Gm20854	GO:0007276
Gm20854	GO:0005654
Gm20854	GO:0035064
Gm20854	GO:0006355
Gm20854	GO:0005829
Gm28349	
Gm21892	
Gm28346	
Gm28345	
Gm29090	
Gm28152	
Gm54346	
Gm21881	
Gm21435	
Gm29505	
Gm21862	
Gm28823	
Gm28871	
Gm28220	
Gm29512	
Gm29511	
Gm20820	GO:0007286
Gm20820	GO:0051321
Gm20820	GO:0000795
Gm20880	
Gm28219	
Gm20881	
Gm28218	
Gm29121	
Gm54347	
Gm29120	
Gm20861	
Gm29117	
Gm20860	
Gm28057	
Gm21796	
Gm29302	
Gm20883	GO:0005634
Gm20883	GO:0005515
Gm20883	GO:0010468
Gm20883	GO:0005737
Gm20883	GO:0007338
Gm20883	GO:0007530
Gm20883	GO:0048515
Gm29119	
Gm29118	
Gm28440	
Gm29299	
Gm29116	
Gm20889	
Gm29298	
Gm20887	
Gm29092	
Gm29091	
Gm29320	
Gm21849	
Gm29297	
Gm21462	
Gm21470	
Gm28366	
Gm21752	
Gm28365	
Gm29319	
Gm28317	
Gm28318	
Gm21477	GO:0005634
Gm21477	GO:0005515
Gm21477	GO:0010468
Gm21477	GO:0005737
Gm21477	GO:0007338
Gm21477	GO:0007530
Gm21477	GO:0048515
Gm21477	GO:0007286
Gm21477	GO:0051321
Gm21477	GO:0000795
Gm20884	
Gm28368	
Gm28313	
Gm28314	
Gm28369	
Gm28315	
Gm28367	
Gm29115	
Gm21813	
Gm28316	
Gm21387	
Gm21396	
Gm28944	
Gm20906	GO:0005634
Gm20906	GO:0005515
Gm20906	GO:0010468
Gm20906	GO:0005737
Gm20906	GO:0007338
Gm20906	GO:0007530
Gm20906	GO:0048515
Gm28943	
Gm29111	
Gm28946	
Gm28110	
Gm28945	
Gm28109	
Gm28108	
Gm28107	
Gm28106	
Gm28949	
Gm28948	
Gm28716	
Gm28717	
Gm28718	
Gm28950	
Gm21245	
Gm29162	
Gm29169	
Gm21777	
Gm21899	
Gm28866	
Gm29063	
Gm28737	
Gm28405	
Gm21792	
Gm28738	
Gm28406	
Gm20923	
Gm28978	
Gm29436	
Gm28197	
Gm20819	
Gm21249	
Gm29437	
Gm28736	
Gm28977	
Gm21840	
Gm28407	
Gm21287	
Gm29390	
Gm28735	
Gm29391	
Gm21720	
Gm29392	
Gm28672	
Gm28734	
Gm21838	
Gm28232	
Gm28670	
Gm28671	
Gm28732	
Gm28673	
Gm28733	
Gm28674	
Gm21268	
Gm21275	
Gm28233	
Gm28235	
Gm28234	
Gm21902	
Gm21803	
Gm28930	
Gm20879	
Gm28236	
Gm21285	
Gm29504	
Gm20747	GO:0007276
Gm20747	GO:0005654
Gm20747	GO:0035064
Gm20747	GO:0006355
Gm20747	GO:0005829
Gm29250	
Gm29251	
Gm21906	
Gm29252	
Gm28300	
Gm29248	
Gm28301	
Gm29249	
Gm29484	
Gm21860	
Gm21920	
Gm28908	
Mid1-ps1	
Gm28907	
Gm21749	
Gm20929	GO:0005634
Gm20929	GO:0005515
Gm20929	GO:0010468
Gm20929	GO:0005737
Gm20929	GO:0007338
Gm20929	GO:0007530
Gm20929	GO:0048515
Gm28910	
Gm28909	
Gm47283	
Gm28276	
