Gene name	GO term accession
SLC27A3	GO:0005783
SLC27A3	GO:0006629
SLC27A3	GO:0016020
SLC27A3	GO:0000166
SLC27A3	GO:0005524
SLC27A3	GO:0005739
SLC27A3	GO:0006631
SLC27A3	GO:0006869
SLC27A3	GO:0016874
SLC27A3	GO:0031966
SLC27A3	GO:0001676
SLC27A3	GO:0005324
SLC27A3	GO:0047676
SLC27A3	GO:0015908
SLC27A3	GO:0015909
SLC27A3	
LINC02124	
KIR2DL2	GO:0005886
KIR2DL2	GO:0005515
KIR3DL1	GO:0005886
KIR3DL1	GO:0005515
KIR3DL1	GO:0006955
KIR3DL1	GO:0060090
KIR3DL1	GO:0042267
KIR3DL1	GO:0030109
LINC01839	
KIR2DS3	GO:0005886
KIR2DS3	GO:0016020
KIR2DS3	GO:0006968
LINC02054	
ADI1	GO:0010309
TRAPPC12	
TRAPPC12	GO:0005515
OR9G4	GO:0007186
OR9G4	GO:0016021
OR9G4	GO:0004930
OR9G4	GO:0004984
OR9G4	GO:0005886
OR9G4	GO:0016020
OR9G4	GO:0007165
OR9G4	GO:0050896
OR9G4	GO:0007608
OR9G4	GO:0050911
OR9G4	GO:0005549
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
	GO:0005634
	GO:0008270
	GO:0046872
	GO:0003677
	GO:0006355
	GO:0006357
	GO:0000981
	GO:0000978
OR9G2P	
OR9G1	GO:0007186
OR9G1	GO:0016021
OR9G1	GO:0004930
OR9G1	GO:0004984
OR9G9	GO:0007186
OR9G9	GO:0016021
OR9G9	GO:0004930
OR9G9	GO:0004984
OR9G9	GO:0005886
OR9G9	GO:0016020
OR9G9	GO:0007165
OR9G9	GO:0050896
OR9G9	GO:0007608
OR9G9	GO:0050911
KIR3DP1	
KIR2DP1	
LINC02735	
OR5G5P	
Y_RNA	
Metazoa_SRP	GO:0006617
Metazoa_SRP	GO:0005786
KIR3DL3	
KIR2DL5B	GO:0016020
KIR3DL2	GO:0005886
KIR3DL2	GO:0005515
KIR3DL2	GO:0006968
KIR3DL2	GO:1901215
KIR3DL2	GO:0023029
	GO:0006338
RNA5-8SN5	GO:0003735
RNA5-8SN5	GO:0005840
IMPDH1P5	
DLG5	GO:0005515
DLG5	
DLG5	GO:0042981
DLG5	GO:0005737
DLG5	GO:0005886
DLG5	GO:0016020
DLG5	GO:0042995
DLG5	GO:0005856
DLG5	GO:0070161
DLG5	GO:0030054
DLG5	GO:0035556
DLG5	GO:0045202
DLG5	GO:0098609
DLG5	GO:0014069
DLG5	GO:0036064
DLG5	GO:0045880
DLG5	GO:0035331
DLG5	GO:0030336
DLG5	GO:0030011
DLG5	GO:0007165
DLG5	GO:0008285
DLG5	GO:0051965
DLG5	GO:0030159
DLG5	GO:0042130
DLG5	GO:0060999
DLG5	GO:0001837
DLG5	GO:0008013
DLG5	GO:0035332
DLG5	GO:0045197
DLG5	GO:0005912
DLG5	GO:0008092
KIR2DS1	GO:0005886
KIR2DS1	GO:0016020
KIR2DS1	GO:0005515
KIR2DS1	GO:0006955
KIR2DS1	GO:0004888
ZNF43	
DHX36	
ZNF100	GO:0006355
ZNF100	GO:0005634
ZNF100	GO:0046872
ZNF100	GO:0003677
ZNF100	GO:0005515
ZNF100	GO:0006357
ZNF100	GO:0000981
ZNF100	GO:0000978
ZNF100	
CCNYL6	
BRI3BPP1	
VN1R84P	
PIWIL1	GO:0005515
PIWIL1	GO:0003676
PIWIL1	GO:0007286
PIWIL1	GO:0034584
PIWIL1	GO:0090502
PIWIL1	GO:0003723
PIWIL1	GO:0005737
PIWIL1	GO:0046872
PIWIL1	GO:0016787
PIWIL1	GO:0006417
PIWIL1	GO:0030154
PIWIL1	GO:0090305
PIWIL1	GO:0004519
PIWIL1	GO:0031047
PIWIL1	GO:0004518
PIWIL1	GO:0051321
PIWIL1	GO:0003729
PIWIL1	GO:0007283
PIWIL1	GO:0061980
PIWIL1	GO:0004521
PIWIL1	GO:0010529
PIWIL1	GO:0043186
PIWIL1	GO:0033391
PIWIL1	GO:0034587
PIWIL1	GO:0035092
PIWIL1	
MTDHP4	
KRT18P40	
ZNF430	GO:0006355
ZNF430	
ARHGEF26	
ARHGEF26	GO:0042995
ARHGEF26	GO:0005829
ARHGEF26	GO:0005085
ARHGEF26	GO:0001726
ARHGEF26	GO:0090630
ARHGEF26	GO:0005515
ZNF85	GO:0006355
ZNF85	GO:0005634
ZNF85	GO:0046872
ZNF85	GO:0005654
ZNF85	GO:0003677
ZNF85	GO:0005515
ZNF85	GO:0006357
ZNF85	GO:0000122
ZNF85	GO:0000981
ZNF85	GO:0001227
ZNF85	GO:0000978
ZNF85	
KRTAP9-9	GO:0045095
KRTAP9-2	GO:0045095
KRTAP9-2	GO:0005829
KRTAP9-2	GO:0005515
KRTAP9-2	GO:0005882
KRTAP9-2	GO:0042802
KRTAP9-4	GO:0045095
KRTAP9-4	GO:0005829
KRTAP9-4	GO:0005515
KRTAP9-4	GO:0005882
KRTAP9-3	GO:0045095
KRTAP9-3	GO:0005829
KRTAP9-3	GO:0005515
KRTAP9-3	GO:0005882
KRTAP9-3	GO:0042802
KRTAP9-10P	
	GO:0045095
	GO:0005829
	GO:0005882
KRTAP29-1	GO:0045095
KRTAP29-1	GO:0005829
KRTAP29-1	GO:0005198
KRTAP29-1	GO:0005882
BNIP3P24	
ZNF66	GO:0006355
ZNF66	GO:0016020
ZNF66	GO:0046872
ARHGEF26-AS1	
SNTG2	
TPO	
TPO	GO:0016021
TPO	GO:0004447
TPO	GO:0006590
TPO	GO:0005509
TPO	GO:0020037
TPO	GO:0006979
TPO	GO:0004601
TPO	GO:0016020
TPO	GO:0110165
TPO	GO:0046872
TPO	GO:0042446
TPO	GO:0098869
TPO	GO:0071704
TPO	GO:0042744
PRODH	GO:0004657
PRODH	GO:0006562
FAM157A	
	GO:0005515
